"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
95,"T097",41.6447200663,-87.601851528,0,"FALSE",,0,,0,,,,,,,,4460,"60827","60827","B5","G6350","S",18168373,1229641,"+41.6494340","-087.6335719"
136,"T200B",41.6483106893,-87.5596320471,0,"TRUE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
138,"T206",41.6548384476,-87.5421585536,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
134,"T200",41.656676999,-87.5594407188,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
137,"T203",41.6567891391,-87.5594401791,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
139,"T209",41.6570688756,-87.5460488651,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
148,"T221",41.6592360185,-87.6120151281,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
135,"T200A",41.6601053592,-87.546987613,0,"TRUE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
104,"T115",41.6623867276,-87.5901797275,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
109,"T135B",41.6631884935,-87.6326783598,0,"TRUE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
108,"T135",41.6635341,-87.6319993,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
100,"T104",41.6723761758,-87.5754773766,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
87,"T090C",41.6757126357,-87.6539394763,0,"TRUE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
84,"T090",41.6768873162,-87.6612219262,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
88,"T091",41.6770323532,-87.6444650752,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
89,"T092",41.6774470725,-87.6227850123,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
140,"T212",41.6810349311,-87.5334364673,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
129,"T158",41.6821804029,-87.710091651,0,"FALSE",,0,,0,,,,,,,,4447,"60655","60655","B5","G6350","S",11408006,0,"+41.6947762","-087.7037764"
86,"T090B",41.6837249746,-87.656560671,0,"TRUE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
99,"T103",41.6863678,-87.5363922,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
141,"T215",41.6864892499,-87.531059811,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
80,"T086",41.6881705896,-87.678251676,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
81,"T087",41.6881928495,-87.6768731124,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
156,"T229",41.6902210882,-87.6376163722,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
85,"T090A",41.6904922437,-87.6593528015,0,"TRUE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
131,"T160",41.6909229851,-87.682259674,0,"FALSE",,0,,0,,,,,,,,4447,"60655","60655","B5","G6350","S",11408006,0,"+41.6947762","-087.7037764"
78,"T084",41.692774012,-87.6173661512,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
98,"T102",41.69549407,-87.6090817656,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
82,"T088",41.7010097311,-87.6915016994,0,"FALSE",,0,,0,,,,,,,,4447,"60655","60655","B5","G6350","S",11408006,0,"+41.6947762","-087.7037764"
83,"T089",41.7043384153,-87.6570842719,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
105,"T128",41.7046872136,-87.5642355621,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
93,"T095A",41.7047273977,-87.6380595138,0,"TRUE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
92,"T095",41.7053276442,-87.6329553654,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
106,"T128A",41.7060240761,-87.5658354787,0,"TRUE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
110,"T138",41.7105424022,-87.5845589334,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
111,"T138B",41.7108293884,-87.5845258395,0,"TRUE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
97,"T100",41.7177671,-87.5316325,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
132,"T161",41.7181710224,-87.6748588234,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
91,"T094B",41.7185958187,-87.6689262435,0,"TRUE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
90,"T094",41.7212874997,-87.6652357017,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
79,"T085",41.7214794348,-87.6506214916,0,"FALSE",,0,,0,,,,,,,,22215,"60643","60643","B5","G6350","S",19029085,32576,"+41.7002727","-087.6632674"
133,"T162",41.7240338368,-87.6143450752,0,"FALSE",,0,,0,,,,,,,,21549,"60619","60619","B5","G6350","S",15595536,0,"+41.7436926","-087.6055232"
154,"T227",41.728490034,-87.6085243081,0,"FALSE",,0,,0,,,,,,,,21549,"60619","60619","B5","G6350","S",15595536,0,"+41.7436926","-087.6055232"
101,"T107",41.7292635056,-87.6034586898,0,"FALSE",,0,,0,,,,,,,,21549,"60619","60619","B5","G6350","S",15595536,0,"+41.7436926","-087.6055232"
130,"T159",41.7314468582,-87.6497222528,0,"FALSE",,0,,0,,,,,,,,21557,"60620","60620","B5","G6350","S",18349458,10662,"+41.7404975","-087.6525582"
94,"T096",41.732428064,-87.6310564801,0,"FALSE",,0,,0,,,,,,,,21557,"60620","60620","B5","G6350","S",18349458,10662,"+41.7404975","-087.6525582"
96,"T099",41.7331878797,-87.5556286895,0,"FALSE",,0,,0,,,,,,,,21205,"60617","60617","B5","G6350","S",35874528,3883219,"+41.7182009","-087.5520495"
164,"T237",41.7387738986,-87.6963592036,0,"FALSE",,0,,0,,,,,,,,4300,"60652","60652","B5","G6350","S",12987856,0,"+41.7479319","-087.7147951"
152,"T225",41.7426704781,-87.7315500589,0,"FALSE",,0,,0,,,,,,,,4300,"60652","60652","B5","G6350","S",12987856,0,"+41.7479319","-087.7147951"
65,"T072",41.7463635329,-87.7024448681,0,"FALSE",,0,,0,,,,,,,,4300,"60652","60652","B5","G6350","S",12987856,0,"+41.7479319","-087.7147951"
61,"T068",41.7465002,-87.6637,0,"FALSE",,0,,0,,,,,,,,21557,"60620","60620","B5","G6350","S",18349458,10662,"+41.7404975","-087.6525582"
165,"T238",41.7534898164,-87.7083778685,0,"FALSE",,0,,0,,,,,,,,4300,"60652","60652","B5","G6350","S",12987856,0,"+41.7479319","-087.7147951"
74,"T080",41.7541484141,-87.6127210226,0,"FALSE",,0,,0,,,,,,,,21549,"60619","60619","B5","G6350","S",15595536,0,"+41.7436926","-087.6055232"
77,"T083",41.754292,-87.590773,0,"FALSE",,0,,0,,,,,,,,21549,"60619","60619","B5","G6350","S",15595536,0,"+41.7436926","-087.6055232"
60,"T067",41.7600823529,-87.741607161,0,"FALSE",,0,,0,,,,,,,,21870,"60629","60629","B5","G6350","S",17617067,161566,"+41.7758678","-087.7114956"
32,"T035",41.763370922,-87.6378726141,0,"FALSE",,0,,0,,,,,,,,21562,"60621","60621","B5","G6350","S",9656673,0,"+41.7763818","-087.6395712"
73,"T079",41.7657525249,-87.5624652079,0,"FALSE",,0,,0,,,,,,,,22541,"60649","60649","B5","G6350","S",7586746,2576180,"+41.7634204","-087.5658787"
62,"T069",41.768485667,-87.6794634281,0,"FALSE",,0,,0,,,,,,,,22260,"60636","60636","B5","G6350","S",10132439,0,"+41.7757391","-087.6690640"
59,"T066",41.771198588,-87.7031066077,0,"FALSE",,0,,0,,,,,,,,21870,"60629","60629","B5","G6350","S",17617067,161566,"+41.7758678","-087.7114956"
127,"T156",41.772392283,-87.7398164743,0,"FALSE",,0,,0,,,,,,,,21870,"60629","60629","B5","G6350","S",17617067,161566,"+41.7758678","-087.7114956"
66,"T073",41.7730854015,-87.6001675594,0,"FALSE",,0,,0,,,,,,,,22263,"60637","60637","B5","G6350","S",11729658,1853047,"+41.7816213","-087.5998763"
162,"T235",41.7748411153,-87.7280058192,0,"FALSE",,0,,0,,,,,,,,21870,"60629","60629","B5","G6350","S",17617067,161566,"+41.7758678","-087.7114956"
72,"T078",41.7754286073,-87.6545344984,0,"FALSE",,0,,0,,,,,,,,22260,"60636","60636","B5","G6350","S",10132439,0,"+41.7757391","-087.6690640"
126,"T155",41.7760053917,-87.7794076676,0,"FALSE",,0,,0,,,,,,,,22271,"60638","60638","B5","G6350","S",28764922,0,"+41.7814302","-087.7705205"
58,"T065A",41.7773431435,-87.7496655315,0,"TRUE",,0,,0,,,,,,,,22271,"60638","60638","B5","G6350","S",28764922,0,"+41.7814302","-087.7705205"
71,"T077",41.7781288579,-87.5862450352,0,"FALSE",,0,,0,,,,,,,,22263,"60637","60637","B5","G6350","S",11729658,1853047,"+41.7816213","-087.5998763"
57,"T065",41.7783051555,-87.754366286,0,"FALSE",,0,,0,,,,,,,,22271,"60638","60638","B5","G6350","S",28764922,0,"+41.7814302","-087.7705205"
64,"T071",41.7796933553,-87.7765972791,0,"FALSE",,0,,0,,,,,,,,22271,"60638","60638","B5","G6350","S",28764922,0,"+41.7814302","-087.7705205"
169,"T242",41.7916895638,-87.7816359713,0,"FALSE",,0,,0,,,,,,,,22271,"60638","60638","B5","G6350","S",28764922,0,"+41.7814302","-087.7705205"
70,"T076",41.7939518067,-87.6158117048,0,"FALSE",,0,,0,,,,,,,,22263,"60637","60637","B5","G6350","S",11729658,1853047,"+41.7816213","-087.5998763"
153,"T226",41.7943664781,-87.6489251365,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
63,"T070",41.7969756237,-87.7977135554,0,"FALSE",,0,,0,,,,,,,,22271,"60638","60638","B5","G6350","S",28764922,0,"+41.7814302","-087.7705205"
103,"T114B",41.7979989395,-87.7369191051,0,"TRUE",,0,,0,,,,,,,,22251,"60632","60632","B5","G6350","S",19250522,123030,"+41.8101664","-087.7132518"
102,"T114",41.7982107263,-87.7369249632,0,"FALSE",,0,,0,,,,,,,,22251,"60632","60632","B5","G6350","S",19250522,123030,"+41.8101664","-087.7132518"
54,"T062",41.8005970872,-87.7117303452,0,"FALSE",,0,,0,,,,,,,,22251,"60632","60632","B5","G6350","S",19250522,123030,"+41.8101664","-087.7132518"
53,"T061",41.8010478572,-87.6804247337,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
76,"T082",41.802359309,-87.6430759192,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
69,"T075",41.8080900635,-87.5892865065,0,"FALSE",,0,,0,,,,,,,,21195,"60615","60615","B5","G6350","S",5729683,1663610,"+41.8016473","-087.5962879"
75,"T081",41.8200516493,-87.6273475708,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
67,"T074",41.8208585077,-87.6651080947,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
68,"T074B",41.8225150209,-87.6651045865,0,"TRUE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
52,"T060",41.8231277056,-87.682529037,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
55,"T063",41.8253982565,-87.7239621367,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
56,"T063B",41.8260653407,-87.7239760927,0,"TRUE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
128,"T157",41.8264764668,-87.6467319796,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
33,"T035.2",41.8366302,-87.6777392,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
34,"T036",41.8369118886,-87.7315789027,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
31,"T034",41.8416841809,-87.6851487364,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
47,"T051",41.8455294771,-87.6560501353,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
123,"T152",41.8457154018,-87.7158985974,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
37,"T040",41.8517688928,-87.719728203,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
38,"T043",41.8578372938,-87.6358619856,0,"FALSE",,0,,0,,,,,,,,21197,"60616","60616","B5","G6350","S",10354601,1602198,"+41.8448829","-087.6240323"
44,"T048",41.8669151816,-87.6549188436,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
43,"T047",41.8675992537,-87.6957854426,0,"FALSE",,0,,0,,,,,,,,21187,"60612","60612","B5","G6350","S",9709580,0,"+41.8803125","-087.6877424"
29,"T167",41.8728728625,-87.764736532,0,"FALSE",,0,,0,,,,,,,,22219,"60644","60644","B5","G6350","S",9074673,24575,"+41.8800843","-087.7563733"
