GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,POLISH,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER
Albany Park,57655,51542,51575,13354,13738,11975,8232,2329,1343,604,33.6,14932,24892,2337,7883,1531,49998,41047,29653,27243,2339,11394,1041,25729,12814,2494,8580,1622,219,N/A,3413,7459,4184,1355,34065,7378,8192,5068,2047,7339,4041,3627,3835,2967,2091,2259,1632,55561,16411,6415,9996,1685,18096,3413,226,3476,3654,7303,5.4,834,1612,2924,12726,N/A,4353,7239,4790,1336,378,17805,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2516,1939,1886,1526,1505,4977,Health Care,Retail Trade,Manufacturing,Administration,Information,1081,784,618,534,401,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7184,2563,1390,769,560,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2130,560,222,154,144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.661,1229.160,302.877,0.24641,295.528,0.24043,34.521,0.02808,75.040,0.06105,53.804,0.04377,20.188,0.01642,413.624,0.33651,N/A,N/A,28.103,0.02286,5.475,0.00445,4022,4412,2725,5252,10752,1534,5659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25587,22290,47877,16365,31512,16525,16365,21012,967,294,2310,621,650,1801,3294,563,15866,26741,1907,10178,2963
Archer Heights,12644,13393,13233,4016,2933,2879,1897,907,369,231,33.0,2477,10178,79,439,60,13231,10012,6700,6038,662,3312,80,5742,3582,878,935,329,19,N/A,600,1557,1107,642,8151,2599,2881,1535,278,663,195,946,1149,787,384,493,148,44949,3906,2188,1719,361,4267,1904,44,1092,1019,183,5.6,24,808,2248,1187,N/A,353,1497,1762,393,263,4679,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,718,539,511,510,433,9743,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3154,1902,1395,814,766,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1821,598,293,255,251,Outside of Chicago,South Lawndale,Gage Park,Brighton Park,West Lawn,5060,284,266,262,258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15621,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.504,1283.804,168.550,0.13129,68.806,0.05360,18.177,0.01416,52.723,0.04107,37.963,0.02957,333.606,0.25986,555.887,0.43300,N/A,N/A,15.005,0.01169,33.087,0.02577,857,820,711,1518,2957,551,949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6810,5468,12278,2291,9988,4447,2291,8451,1118,301,29,24,0,0,64,0,6752,5485,74,48,285
Armour Square,12032,13391,13699,2997,2824,2539,2541,1371,1043,385,42.0,1599,423,1248,10299,130,13674,11536,6688,5879,809,4848,187,5523,2159,1003,1012,1234,114,N/A,2088,2168,783,125,9974,3342,3010,920,505,1313,884,2483,1136,648,324,425,149,26543,5165,1912,3252,527,5690,381,674,855,1114,2653,4.8,767,2163,895,1865,N/A,1414,1813,2049,261,153,4828,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Professional,931,623,423,418,364,5107,Accommodation and Food Service,Administration,Arts and Entertainment,Health Care,Retail Trade,1531,797,758,718,360,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1518,768,665,314,261,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1236,724,665,256,237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.176,637.424,56.118,0.08804,79.236,0.12431,9.858,0.01547,89.513,0.14043,11.249,0.01765,18.035,0.02829,343.633,0.53910,N/A,N/A,15.019,0.02356,14.762,0.02316,1632,1426,829,1277,3293,362,1872,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4922,8144,13066,3684,9382,6940,3684,235,25,8758,0,1,6,138,218,0,2062,448,2046,7305,171
Ashburn,39584,41081,43283,12983,8368,8998,8477,2855,977,625,35.5,5044,16374,20721,314,830,42697,33085,22477,19608,2869,10608,320,18643,13105,2592,2763,130,53,N/A,860,4331,5142,2500,26882,4417,8141,6584,2239,3595,1906,2021,2673,2653,2166,2215,1105,65499,12833,10784,2049,649,13482,11887,103,347,388,748,6.6,235,2039,10408,800,N/A,373,2421,6905,2802,981,16531,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2208,2143,1706,1574,1409,5380,Retail Trade,Health Care,Utilities,Administration,Accommodation and Food Service,1144,998,811,441,382,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,6818,3795,847,844,288,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2880,288,191,135,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18740,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.803,3109.741,1267.655,0.40764,41.015,0.01319,9.862,0.00317,132.261,0.04253,182.694,0.05875,103.806,0.03338,1071.498,0.34456,N/A,N/A,259.867,0.08357,41.085,0.01321,2447,3001,2672,4713,10089,1770,2744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33201,7343,40544,26603,13941,5006,26603,12485,219,49,77,444,9,91,309,258,14546,6674,17045,408,911
Auburn Gresham,55928,48743,45770,11432,9224,7941,9587,4041,2700,845,39.6,257,614,44267,153,479,45656,36987,20671,15788,4876,16316,635,14864,8898,960,4638,265,103,N/A,5582,7574,3209,914,31118,5356,10100,8973,2113,2771,1805,7497,4448,2661,1297,1054,322,29821,17279,7529,9750,3304,20583,8613,307,4152,3445,4031,5.8,732,1727,9724,8400,N/A,3573,7132,6686,2264,928,14500,Health Care,Retail Trade,Administration,Education,Transportation,2816,1599,1562,1469,1226,2554,Retail Trade,Transportation,Accommodation and Food Service,Health Care,Manufacturing,619,343,334,225,178,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,4988,2709,1091,896,267,Outside of Chicago,Auburn Gresham,South Shore,Chicago Lawn,Roseland,957,240,83,74,73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.732,2411.969,800.140,0.33174,319.437,0.13244,22.147,0.00918,90.518,0.03753,109.089,0.04523,54.893,0.02276,834.364,0.34593,N/A,N/A,59.344,0.02460,122.036,0.05060,6075,4776,2929,3499,10610,2694,6669,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42495,737,43232,42479,753,224,42479,377,2,0,20,0,11,61,202,80,237,347,54862,45,437
Austin,117527,98514,97611,27986,20929,18001,18709,7336,3498,1152,34.8,4407,12270,79668,475,791,96571,75407,41617,34244,7364,33790,906,32683,19572,2368,9518,690,535,N/A,10651,13091,6320,2317,61875,13410,22597,13151,4490,5481,2746,13062,8848,4561,2583,2362,963,31920,32379,12960,19419,4834,37213,9847,615,11490,6869,8293,5.8,1261,2443,8837,24672,N/A,6583,14019,11165,3422,2024,33535,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,6078,4046,3793,2917,2703,15815,Health Care,Administration,Retail Trade,Manufacturing,Construction,3998,2293,2288,2140,1059,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15317,4817,1990,1695,1172,Outside of Chicago,Austin,Lake View,Belmont Cragin,Near North Side,7797,1172,312,299,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.699,4574.247,958.053,0.20944,794.188,0.17362,62.312,0.01362,206.106,0.04506,206.258,0.04509,499.205,0.10913,1470.444,0.32146,N/A,N/A,199.701,0.04366,177.979,0.03891,9990,8538,5202,8649,21036,5987,11343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85410,4859,90269,78858,11411,4262,78858,9805,484,0,135,148,97,72,575,95,5662,4841,105369,642,1013
Avalon Park,11147,10185,9795,2150,1676,1668,2329,1045,651,277,44.7,37,68,9573,19,99,9782,8217,4294,3255,1039,3923,182,2905,2028,268,591,9,9,N/A,952,1694,959,269,7075,852,1689,2443,492,1066,533,1387,986,478,488,343,191,37671,3873,2528,1344,625,4497,2760,233,362,441,701,6.3,428,293,1889,1887,N/A,1016,935,1444,689,413,3262,Health Care,Education,Public Administration,Retail Trade,Administration,596,453,339,313,286,3101,Health Care,Construction,Accommodation and Food Service,Other Service,Retail Trade,1959,346,136,125,123,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,915,814,275,182,85,Outside of Chicago,Chatham,Roseland,South Shore,Auburn Gresham,1001,144,129,122,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.859,800.109,304.059,0.38002,27.299,0.03412,2.578,0.00322,44.905,0.05612,43.012,0.05376,12.009,0.01501,313.565,0.39190,N/A,N/A,28.048,0.03506,24.633,0.03079,1563,1107,529,675,2208,490,1665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8967,147,9114,8932,182,33,8932,61,0,0,0,0,0,47,16,59,96,85,10816,19,131
Avondale,43083,39262,38191,9226,12162,7750,5307,2173,1063,510,32.4,11898,23368,800,1340,785,38114,30712,21034,19633,1401,9678,790,18498,9449,1986,5814,949,300,N/A,2679,6642,3342,855,25860,6969,6215,3791,1225,4779,2881,3221,3890,2537,1428,1391,1051,47714,13518,4992,8526,1620,15138,2397,376,4558,4625,3162,5.5,1086,898,2081,11073,N/A,2956,6989,3952,807,434,15135,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1722,1590,1493,1430,1342,8088,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1759,1316,1057,748,548,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5498,2460,1310,850,533,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Portage Park,3911,343,318,228,188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.875,1269.297,161.303,0.12708,312.134,0.24591,34.999,0.02757,100.362,0.07907,27.475,0.02165,130.909,0.10314,478.378,0.37688,N/A,N/A,8.819,0.00695,14.918,0.01175,3687,3974,2526,3331,8045,1288,5473,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22021,13426,35447,13925,21522,10552,13925,18051,1890,60,378,98,10,392,633,10,12757,26700,669,953,2004
Belmont Cragin,78144,78743,78107,24443,17805,17084,12405,4072,1615,682,32.5,10859,62945,2194,1333,775,77772,58425,40700,36277,4406,17725,537,34935,22374,4891,5501,1343,827,N/A,3191,8988,6781,2981,47925,17258,14394,7502,2566,4385,1819,5462,6412,4662,2118,2490,796,44796,21941,10981,10961,2325,24266,9010,544,5977,5547,3096,5.7,1128,2118,8453,12569,N/A,3588,9917,6759,2633,1370,26150,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3630,3182,3170,2758,2679,13934,Administration,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,6420,2616,968,714,659,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12513,2731,1365,977,975,Outside of Chicago,Belmont Cragin,Austin,Portage Park,South Lawndale,7353,975,391,289,277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.888,2504.578,711.919,0.28425,385.335,0.15385,48.239,0.01926,242.313,0.09675,146.582,0.05853,121.359,0.04845,775.695,0.30971,N/A,N/A,64.780,0.02586,8.356,0.00334,4351,4667,3962,8961,16684,3638,5257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41760,30010,71770,12965,58805,27126,12965,52636,4279,17,936,309,27,206,359,36,21881,50881,2000,1989,1393
Beverly,21992,20034,20836,5367,2802,4448,5214,1918,818,269,42.9,12043,1200,7047,89,457,20810,16452,10866,10152,714,5586,418,9481,6700,593,1928,208,52,N/A,382,2775,3118,1335,14447,457,2043,2853,1048,3955,4091,744,1180,1105,1212,1337,2032,91007,7610,6162,1448,424,8034,6261,72,329,242,1114,7.2,124,340,3818,3752,N/A,894,1434,3218,1724,764,9791,Education,Public Administration,Health Care,Professional,Retail Trade,1810,1257,1167,760,696,3328,Health Care,Accommodation and Food Service,Retail Trade,Education,Administration,613,474,430,417,411,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3633,3090,488,459,322,Outside of Chicago,Beverly,Morgan Park,Roseland,Auburn Gresham,1586,322,99,92,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15506,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.047,2038.094,1043.624,0.51206,58.803,0.02885,9.862,0.00484,66.066,0.03242,42.688,0.02094,N/A,N/A,548.885,0.26931,N/A,N/A,257.611,0.12640,10.555,0.00518,2018,2319,1261,2012,5325,358,2285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18762,639,19401,18449,952,199,18449,553,60,18,39,8,0,4,199,71,13814,643,7006,121,408
Bridgeport,33694,31977,32789,6667,8973,6270,7157,2211,1040,470,36.7,10955,8160,863,12193,618,32764,27392,18073,16279,1794,9319,351,15657,8011,2426,3456,1481,284,N/A,3020,5538,3198,788,23516,5144,6899,3647,1516,4099,2211,3609,3458,2099,1274,1218,882,42630,12540,5572,6969,1184,13726,3739,461,3387,3916,2206,5.3,1778,1622,1554,8772,N/A,2163,5608,4258,1314,383,13253,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1940,1423,1215,1195,1087,4390,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Education,1395,442,405,375,354,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4070,2503,1037,939,724,Outside of Chicago,Bridgeport,New City,Brighton Park,Armour Square,1670,540,117,117,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.953,1338.189,243.563,0.18201,224.911,0.16807,31.113,0.02325,55.910,0.04178,32.920,0.02460,135.145,0.10099,491.184,0.36705,N/A,N/A,47.658,0.03561,75.786,0.05663,3796,3607,2582,2556,7502,983,5038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19123,11703,30826,14091,16735,8952,14091,5028,212,10421,104,20,74,190,676,11,13819,10165,354,8808,548
Brighton Park,44912,45368,44231,14750,10005,10001,6233,1898,915,429,31.2,2798,37468,453,3253,259,44156,32664,20782,18383,2397,11882,244,17746,10746,2582,3421,807,190,N/A,1881,5111,3653,1540,25981,11325,7928,3322,1132,1693,581,3455,4329,2134,1062,819,386,38673,12185,5778,6407,1767,13952,3305,255,6474,3475,411,5.4,444,1171,2972,9365,N/A,1196,5980,5104,1126,546,12544,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,1838,1527,1455,1400,1238,5273,Manufacturing,Retail Trade,Wholesale Trade,Administration,Accommodation and Food Service,1460,844,782,594,363,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4695,1506,769,691,517,Outside of Chicago,Brighton Park,Gage Park,South Lawndale,Chicago Lawn,2328,517,172,160,119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.911,1742.259,246.083,0.14124,304.092,0.17454,27.385,0.01572,79.468,0.04561,46.854,0.02689,276.753,0.15885,697.362,0.40026,N/A,N/A,8.123,0.00466,56.140,0.03222,2084,2345,2121,5635,9650,1686,2535,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20867,20419,41286,6323,34963,16521,6323,31490,247,2742,89,8,0,113,224,50,8300,34409,221,1288,694
Burnside,3294,2916,2442,687,463,315,447,313,155,62,38.6,11,0,2419,0,12,2442,1961,1029,840,189,932,13,778,370,132,276,0,0,N/A,417,308,126,75,1523,285,434,454,139,98,113,473,226,49,95,63,20,24462,926,437,489,378,1304,685,53,221,117,228,5.8,263,153,348,540,N/A,337,293,402,202,70,842,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,166,112,89,80,79,2344,Transportation,Manufacturing,Health Care,Retail Trade,Other Service,1529,507,112,90,52,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,307,166,68,52,21,Outside of Chicago,Auburn Gresham,Greater Grand Crossing,Roseland,South Shore,827,107,102,94,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15618,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.002,390.174,67.206,0.17225,13.892,0.03561,1.650,0.00423,14.604,0.03743,7.373,0.01890,116.360,0.29822,130.647,0.33484,N/A,N/A,7.019,0.01799,31.424,0.08054,442,207,42,235,451,91,475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2232,93,2325,2248,77,26,2248,0,0,0,0,0,0,0,70,7,40,34,3180,7,33
