GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,POLISH,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER
Calumet Heights,15974,13812,13306,2509,1883,2803,2875,1661,1072,503,47.0,161,465,12566,12,102,13300,11401,6306,5395,911,5095,178,5113,3236,434,1342,77,24,N/A,916,2475,1415,492,10071,1138,2628,2713,968,1545,1079,1476,1276,904,758,695,189,48161,5298,4058,1240,721,6019,4595,176,557,454,189,6.4,72,350,4197,1400,N/A,346,1463,3110,779,321,4677,Health Care,Education,Public Administration,Administration,Accommodation and Food Service,828,696,457,419,375,2097,Health Care,Accommodation and Food Service,Retail Trade,Professional,Information,1334,244,189,71,62,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,1458,1309,332,302,75,Outside of Chicago,South Shore,South Chicago,Auburn Gresham,Calumet Heights,1229,59,48,45,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.450,1120.896,436.211,0.38916,49.682,0.04432,3.593,0.00321,35.949,0.03207,30.248,0.02699,10.154,0.00906,463.358,0.41338,N/A,N/A,21.083,0.01881,70.619,0.06300,1809,1881,684,924,3266,475,2032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12232,704,12936,11993,943,281,11993,444,0,7,0,0,0,0,333,159,206,747,14817,33,171
Chatham,37275,31028,30991,7677,5925,5494,7135,2159,1733,867,39.5,459,311,29836,93,291,30951,24579,15032,12161,2871,9547,435,11229,6151,928,3702,287,161,N/A,4721,5857,2444,513,21151,2596,5925,6111,1701,2805,2013,5551,3558,1993,1183,933,316,32348,13534,5142,8393,3066,16601,5268,534,1719,2422,6638,5.4,527,1575,7437,7062,N/A,4642,5705,4659,1238,357,9908,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1910,1226,1020,937,794,4301,Retail Trade,Finance,Other Service,Transportation,Health Care,1725,589,445,404,306,Outside of Chicago,The Loop,Near North Side,Near West Side,Chatham,2908,2198,856,630,181,Outside of Chicago,Chatham,Auburn Gresham,South Shore,Greater Grand Crossing,2031,181,139,130,122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.741,1889.823,527.918,0.27935,255.670,0.13529,17.706,0.00937,178.998,0.09472,69.079,0.03655,46.856,0.02479,685.508,0.36274,N/A,N/A,34.887,0.01846,73.201,0.03873,5903,3509,2335,1786,6900,2332,6634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28103,565,28668,27464,1204,277,27464,661,28,20,0,0,0,21,157,316,121,220,36538,24,372
Chicago Lawn,61412,55628,54265,17878,12399,10881,8698,2865,1099,445,31.1,1973,26109,25023,304,856,53962,40169,25890,20233,5657,14279,430,18947,11576,2671,3999,658,43,N/A,4403,5809,3914,1789,31826,9412,11457,6620,1786,1845,706,6195,4867,2299,1362,852,340,33616,15915,6902,9013,2926,18841,7660,152,4186,4009,2792,5.7,305,1724,10675,6137,N/A,3253,6059,6337,2039,1153,16455,Health Care,Administration,Retail Trade,Manufacturing,Accommodation and Food Service,2375,1943,1822,1803,1661,3543,Retail Trade,Health Care,Accommodation and Food Service,Other Service,Transportation,1744,440,304,226,186,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,7170,2017,914,862,308,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1719,238,85,80,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13492,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.015,2256.186,672.623,0.29812,255.773,0.11337,34.140,0.01513,105.498,0.04676,65.371,0.02897,54.711,0.02425,706.760,0.31325,N/A,N/A,308.420,0.13670,52.891,0.02344,4013,3623,2254,6025,11118,3007,4797,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36985,12730,49715,27056,22659,10362,27056,21831,73,37,57,104,0,16,482,59,6190,21534,32240,393,1055
Clearing,22331,23139,25200,6556,5422,5525,4469,1837,859,532,36.8,11672,12527,340,361,300,25190,19758,13478,12123,1355,6280,157,11752,8297,1097,1798,457,103,N/A,833,3332,3464,1025,17141,2591,6755,3556,1300,2094,845,1598,1790,1887,1415,1417,547,62908,8654,5979,2675,509,9163,5265,516,571,881,1911,5.7,339,2293,5517,1014,N/A,904,2658,4269,904,428,10539,Education,Public Administration,Health Care,Manufacturing,Retail Trade,1203,1084,1037,1032,1015,3966,Manufacturing,Construction,Professional,Wholesale Trade,Real Estate,843,715,485,476,352,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4546,2386,481,475,281,Outside of Chicago,Clearing,Garfield Ridge,Chicago Lawn,Brighton Park,2619,213,92,76,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.865,1633.269,517.285,0.31672,77.171,0.04725,10.413,0.00638,45.097,0.02761,19.761,0.01210,131.305,0.08039,782.300,0.47898,N/A,N/A,34.393,0.02106,15.544,0.00952,2079,2589,1210,2776,6153,810,2501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18499,4966,23465,12921,10544,3378,12921,7791,1747,0,158,164,64,45,559,16,17047,4688,137,152,307
Douglas,26470,18238,20559,4152,6316,3743,3413,1476,949,510,34.2,2356,649,14460,2639,455,17914,17886,9861,8281,1580,8025,380,7559,3304,435,2928,819,73,N/A,3521,4668,1076,225,13695,1748,2635,2976,823,2879,2634,4438,1895,1478,770,495,414,29398,9490,1664,7826,1075,10565,754,646,304,553,8293,3.9,1054,3099,4947,1465,N/A,5167,3048,1644,589,117,6667,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1146,883,627,573,570,6708,Education,Health Care,Real Estate,Administration,Accommodation and Food Service,2413,1315,652,608,429,Outside of Chicago,The Loop,Near North Side,Near West Side,Douglas,1778,1693,641,542,197,Outside of Chicago,Douglas,Auburn Gresham,South Shore,Greater Grand Crossing,2339,197,183,174,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11547,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.483,1052.859,70.368,0.06684,166.382,0.15803,3.524,0.00335,51.137,0.04857,230.894,0.21930,0.811,0.00077,333.118,0.31639,N/A,N/A,74.656,0.07091,121.968,0.11584,5180,2557,1031,722,3315,1084,6175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16311,3499,19810,15950,3860,1772,15950,526,64,1307,50,113,88,395,1104,213,1745,295,22635,1390,405
Dunning,42164,41932,43444,10152,8785,8509,9174,3866,1938,1020,40.3,27862,12559,895,1755,373,43261,35236,23573,22193,1311,11663,281,21617,16637,1840,2312,555,273,N/A,1352,6070,5944,2170,31120,4142,10060,6819,2617,5117,2365,2915,3612,2633,2463,2654,1259,61590,15536,11449,4087,952,16488,10561,470,1169,1137,3074,5.8,835,3211,8463,3979,N/A,1613,6381,5791,2087,616,19324,Health Care,Retail Trade,Manufacturing,Education,Accommodation and Food Service,2424,2112,1927,1793,1502,6701,Health Care,Education,Administration,Retail Trade,Manufacturing,1739,1063,754,733,630,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,9810,3044,771,678,554,Outside of Chicago,Dunning,Portage Park,Austin,Belmont Cragin,2883,554,225,193,171,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.049,2378.214,1011.558,0.42534,138.364,0.05818,21.706,0.00913,68.032,0.02861,358.009,0.15054,29.325,0.01233,641.290,0.26965,0.086,0.00004,73.333,0.03084,36.511,0.01535,4121,4661,2810,3944,10853,1228,4683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27189,13552,40741,19034,21707,8749,19034,8732,9020,154,876,255,34,194,2297,145,34394,5441,234,1315,780
East Garfield Park,20881,20567,20225,6430,5031,3571,3298,1071,601,224,30.4,1079,711,18147,80,208,19305,14913,7488,6119,1369,7425,273,5763,2813,238,2278,286,147,N/A,2988,2723,955,260,11862,2544,4005,2733,785,1205,591,3551,1466,703,618,388,199,24000,6925,1546,5379,1481,8406,971,365,2181,2520,2369,5.5,722,984,1161,5539,N/A,1862,2479,2975,792,299,7101,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,1303,843,814,661,625,3521,Health Care,Professional,Administration,Construction,Manufacturing,1247,656,424,279,163,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,2775,1091,498,479,222,Outside of Chicago,Austin,East Garfield Park,Humboldt Park,Logan Square,1427,159,109,92,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.223,1236.989,58.835,0.04756,208.105,0.16824,9.222,0.00745,38.664,0.03126,82.525,0.06671,74.814,0.06048,412.464,0.33344,N/A,N/A,183.051,0.14798,169.310,0.13687,2467,1665,1077,1717,4235,1585,2690,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18249,336,18584,17852,733,189,17852,605,47,0,46,6,0,19,9,1,235,207,20296,25,118
East Side,23653,23042,22982,7426,4751,4503,3979,1183,748,392,32.6,3929,18387,562,66,38,22976,17379,11240,9170,2050,6139,75,9021,6556,1067,1031,351,17,N/A,975,2597,2100,1157,13761,4174,4731,2508,621,1240,487,1786,2030,1148,947,669,249,42918,6828,4712,2117,916,7744,4807,158,1626,906,249,6.1,102,478,4074,3089,N/A,421,2356,3502,1188,277,7491,Manufacturing,Health Care,Education,Accommodation and Food Service,Retail Trade,1040,930,771,723,689,1425,Transportation,Administration,Retail Trade,Accommodation and Food Service,Construction,276,206,206,166,157,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3275,1267,368,306,224,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,821,224,40,36,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.508,1908.481,465.409,0.24386,80.895,0.04239,11.952,0.00626,58.425,0.03061,99.845,0.05232,112.396,0.05889,739.723,0.38760,N/A,N/A,209.726,0.10989,130.111,0.06818,1464,1475,1244,2644,5239,958,1589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14951,6666,21617,6211,15405,5239,6211,14872,412,33,0,18,0,0,70,1,6951,16113,242,57,290
Edgewater,62198,56521,55430,8155,16364,12013,11269,4434,2049,1146,38.4,30615,9081,7592,6430,1712,52325,49792,34046,31680,2366,15746,1968,29297,11045,1843,13580,2190,639,N/A,11243,12907,4001,516,43577,4102,6425,6974,2278,13743,10055,8023,6735,5020,3033,3117,2739,47636,28667,10262,18405,3684,32351,2016,410,1827,2690,25382,4.3,1021,6583,10934,13813,N/A,17752,9704,3668,792,435,26824,Health Care,Professional,Education,Accommodation and Food Service,Retail Trade,3571,3471,3006,2882,2352,12608,Education,Health Care,Accommodation and Food Service,Retail Trade,Other Service,3816,3374,1676,1119,603,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8639,5652,3381,1503,1153,Outside of Chicago,Edgewater,Rogers Park,West Ridge,Uptown,5005,1153,626,558,497,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.748,1111.665,148.265,0.13337,355.067,0.31940,24.600,0.02213,77.292,0.06953,61.803,0.05559,6.570,0.00591,348.572,0.31356,N/A,N/A,81.265,0.07310,8.231,0.00740,15039,8951,2524,2153,10392,1111,18275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37387,15883,53270,33831,19439,8268,33831,7262,3037,588,908,282,150,1495,3726,1991,29782,12176,10564,7172,2504
Edison Park,11328,11187,11008,2399,2211,2487,2141,803,691,275,41.6,9760,749,148,236,114,11001,8954,6366,6105,261,2588,183,5815,4527,267,679,230,112,N/A,320,1496,2062,587,8169,349,1695,1678,598,2369,1481,412,810,562,739,669,1273,90173,4465,3409,1055,399,4863,3215,76,144,248,1181,6.0,136,591,3083,1053,N/A,546,1532,1619,983,184,6114,Public Administration,Education,Health Care,Retail Trade,Professional,856,842,677,517,484,2606,Administration,Professional,Accommodation and Food Service,Health Care,Real Estate,891,422,211,205,128,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2956,1524,250,166,163,Outside of Chicago,Edison Park,Norwood Park,Austin,Dunning,1460,134,104,57,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14890,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.053,726.270,379.042,0.52190,40.016,0.05510,5.992,0.00825,23.776,0.03274,10.743,0.01479,9.081,0.01250,236.621,0.32580,N/A,N/A,20.232,0.02786,0.766,0.00105,1273,1675,535,982,2957,134,1508,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9235,1266,10501,8579,1922,587,8579,565,513,5,10,11,18,132,635,33,10572,463,19,200,74
Englewood,40222,30654,26020,8303,6249,3883,4497,1734,962,392,31.1,204,756,24690,62,308,25883,19286,10149,6564,3585,9137,347,5972,2833,336,2566,153,84,N/A,4460,3489,1052,190,15607,3835,5624,3867,1125,873,283,5360,2258,775,418,304,76,20112,9191,2363,6828,5045,14236,3211,324,4955,2225,3485,5.7,701,2084,4124,7327,N/A,2560,4698,4792,1516,670,7241,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,1403,952,938,740,540,1959,Health Care,Retail Trade,Education,Other Service,Accommodation and Food Service,1150,326,168,102,59,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,3015,957,441,397,130,Outside of Chicago,Englewood,Auburn Gresham,Chicago Lawn,Greater Grand Crossing,712,108,87,60,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7668,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.326,1966.307,237.933,0.12101,305.826,0.15553,13.530,0.00688,38.241,0.01945,169.939,0.08643,13.498,0.00686,720.565,0.36646,N/A,N/A,43.649,0.02220,423.126,0.21519,3568,1971,1476,2176,5344,2039,3847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23008,618,23626,22797,829,303,22797,590,7,5,8,0,0,34,46,139,178,347,39352,27,318
Forest Glen,18165,18508,18651,5085,2678,4039,3831,1438,1071,509,41.3,13669,2440,169,1976,397,18627,14184,9763,9265,498,4421,397,8667,6782,670,1050,121,44,N/A,320,2137,3124,1099,12796,615,1876,1991,559,4461,3293,701,856,753,755,1482,2131,108146,6678,6023,656,465,7144,5909,330,287,238,380,7.0,297,632,4537,1678,N/A,303,1519,3710,1214,397,8533,Education,Health Care,Public Administration,Professional,Retail Trade,1157,1132,860,813,723,4743,Health Care,Professional,Retail Trade,Wholesale Trade,Finance,1832,617,421,359,233,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3325,2236,491,313,248,Outside of Chicago,Forest Glen,West Ridge,Portage Park,Albany Park,2696,248,139,114,105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.698,2046.164,822.335,0.40189,33.147,0.01620,6.030,0.00295,47.552,0.02324,42.836,0.02093,10.391,0.00508,605.475,0.29591,N/A,N/A,471.433,0.23040,6.965,0.00340,1488,2174,1002,2015,4977,352,1701,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14186,3226,17412,12125,5287,1469,12125,1577,763,125,523,132,196,348,1276,346,14793,1389,71,1586,326
Fuller Park,3420,2876,2457,502,446,364,538,391,153,64,47.1,123,141,2175,16,2,2451,2013,968,697,271,1045,3,665,331,72,224,37,1,N/A,642,271,146,29,1780,472,648,318,143,122,77,603,281,86,52,61,6,22456,1089,384,710,422,1515,308,83,457,192,457,5.2,44,213,593,665,N/A,463,471,448,66,68,849,Health Care,Retail Trade,Administration,Accommodation and Food Service,Education,170,107,96,79,69,1480,Manufacturing,Wholesale Trade,Retail Trade,Health Care,Accommodation and Food Service,527,280,235,191,142,Outside of Chicago,The Loop,Near West Side,Near North Side,Near South Side,304,110,58,54,19,Outside of Chicago,Auburn Gresham,Austin,New City,Chicago Lawn,662,52,44,38,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7070,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.236,457.225,27.788,0.06077,27.830,0.06087,3.916,0.00856,16.708,0.03654,20.091,0.04394,34.175,0.07474,262.792,0.57476,N/A,N/A,11.254,0.02461,52.671,0.11520,539,240,148,162,522,90,568,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2200,114,2314,2182,132,49,2182,77,26,6,0,1,0,0,16,6,18,116,3225,6,55
Gage Park,39193,39894,40926,14756,10039,8526,4966,1800,600,239,28.2,1432,37904,1352,191,47,40874,28884,19487,16456,3031,9397,292,15541,8558,3235,3018,701,29,N/A,1383,3284,3140,1913,22869,9616,8262,2586,1082,945,378,2698,3451,1836,983,606,146,40195,9720,5298,4422,948,10668,5012,123,2582,2244,700,5.7,48,1171,5278,4171,N/A,1344,3635,3474,1311,904,11117,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,1708,1388,1223,1213,1066,4385,Wholesale Trade,Administration,Retail Trade,Accommodation and Food Service,Other Service,1196,1180,671,286,234,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,4824,1164,596,593,317,Outside of Chicago,Gage Park,Chicago Lawn,Ashburn,New City,1937,281,156,106,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.898,1406.908,408.123,0.29009,155.780,0.11073,18.573,0.01320,63.748,0.04531,96.288,0.06844,135.345,0.09620,482.224,0.34275,N/A,N/A,25.599,0.01820,21.227,0.01509,1587,1284,1360,5489,7742,1703,1978,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20504,17133,37637,4810,32827,14519,4810,32458,83,72,37,32,42,2,75,26,4811,31079,2743,161,399
Garfield Ridge,36101,34513,35470,9143,6423,7688,6896,2891,1632,797,38.9,16196,17229,1431,305,309,35218,28121,18017,16204,1813,10104,186,15542,11592,1378,2185,362,25,N/A,1074,4162,4826,1971,24296,4634,7342,5065,2009,3501,1745,2075,2699,2277,1408,2183,1366,63129,12008,9716,2317,600,12633,10307,174,733,637,732,6.0,403,2079,8919,1232,N/A,790,2659,6488,1926,770,15315,Education,Manufacturing,Retail Trade,Public Administration,Health Care,1731,1609,1533,1513,1451,12634,Transportation,Administration,Accommodation and Food Service,Retail Trade,Manufacturing,5443,1511,1170,1129,737,Outside of Chicago,The Loop,Near North Side,Near West Side,Garfield Ridge,6524,3402,798,701,582,Outside of Chicago,Garfield Ridge,Clearing,Austin,Ashburn,7487,582,281,173,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.766,2706.400,1032.128,0.38137,95.910,0.03544,15.277,0.00564,100.911,0.03729,55.415,0.02048,114.237,0.04221,1206.513,0.44580,N/A,N/A,44.187,0.01633,41.822,0.01545,3035,3309,1973,3691,8601,1084,3407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25138,8159,33297,18024,15273,5793,18024,11721,2856,138,45,70,17,1,421,4,24878,5948,4419,328,528
Grand Boulevard,28006,21929,22056,6025,4319,4948,3559,1863,974,368,36.9,570,373,20503,89,521,21771,17138,10296,8252,2044,6842,334,7691,4233,494,2576,261,127,N/A,3974,4306,1220,343,14405,2177,3232,4050,1001,2028,1917,4525,1890,1343,796,754,535,29687,9843,2194,7848,2202,12244,1088,662,706,2948,6827,5.0,3250,2747,2419,3828,N/A,3546,3419,3803,1102,374,8011,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1447,1030,819,712,688,4112,Education,Health Care,Management,Retail Trade,Accommodation and Food Service,1438,1062,512,278,244,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,2008,1979,735,588,184,Outside of Chicago,Grand Boulevard,South Shore,Roseland,Chatham,1423,154,149,128,106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.993,1113.235,62.347,0.05601,255.158,0.22920,7.312,0.00657,42.351,0.03804,112.645,0.10119,8.173,0.00734,378.135,0.33967,N/A,N/A,22.509,0.02022,224.605,0.20176,4819,2241,1287,1496,4639,1554,5204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19850,487,20337,19500,837,236,19500,433,10,5,19,0,8,0,180,182,173,236,27370,21,206
