GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,POLISH,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER
Greater Grand Crossing,38619,32602,32461,8759,7099,5931,6334,2221,1325,792,36.0,431,387,31301,5,337,31919,25501,14357,10929,3428,11144,463,9973,4983,721,3975,229,65,N/A,4702,5204,1782,451,20955,3208,6402,6363,1750,2221,1011,5606,3030,1758,966,525,254,27723,12139,4006,8133,3450,15589,4555,253,3952,2485,4333,5.6,346,1406,4873,8964,N/A,3066,5796,4497,1713,517,9334,Health Care,Administration,Education,Retail Trade,Accommodation and Food Service,1972,995,984,917,841,3321,Health Care,Education,Retail Trade,Accommodation and Food Service,Wholesale Trade,811,702,454,328,296,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,2997,1683,770,553,197,Outside of Chicago,Greater Grand Crossing,South Shore,Auburn Gresham,Chatham,1186,181,133,111,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.349,2269.356,375.531,0.16548,327.666,0.14439,21.211,0.00935,81.700,0.03600,255.314,0.11250,41.081,0.01810,992.347,0.43728,N/A,N/A,34.785,0.01533,139.723,0.06157,4355,3440,2085,2259,7043,2452,5096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29659,530,30189,29237,952,417,29237,482,6,5,0,0,1,0,155,303,146,276,37779,26,392
Hegewisch,9781,9426,9182,2027,1791,1547,2499,600,563,155,42.4,4114,4604,447,0,17,9162,7558,4568,4277,291,2990,3,4274,3054,420,708,91,0,N/A,434,1415,1379,356,6716,1004,2394,1673,473,750,422,930,661,563,558,539,331,58333,3583,2673,909,312,3895,2787,17,642,129,139,5.9,207,696,1764,1229,N/A,341,1085,1873,437,159,3666,Education,Health Care,Manufacturing,Retail Trade,Public Administration,437,390,375,375,361,2451,Manufacturing,Wholesale Trade,Retail Trade,Accommodation and Food Service,Finance,1091,547,273,118,89,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1625,790,185,124,113,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,1622,182,113,41,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.964,3350.913,374.469,0.11175,34.065,0.01017,6.813,0.00203,48.015,0.01433,17.417,0.00520,301.356,0.08993,1562.028,0.46615,N/A,N/A,579.795,0.17303,426.954,0.12741,1095,1295,347,847,2278,204,1305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7579,1218,8797,5693,3105,959,5693,2697,194,12,0,78,0,0,123,0,6553,2820,130,32,246
Hermosa,26908,25010,24450,7207,6019,4912,4045,1322,686,259,32.3,1900,21321,502,384,343,24439,18588,12812,11721,1091,5776,304,11258,7017,1303,2165,557,216,N/A,1247,2746,2008,981,15061,6185,3712,2520,809,1222,613,2046,2161,1033,836,625,281,39289,6982,2959,4023,792,7774,2327,102,2396,1973,968,5.8,83,624,1824,5243,N/A,1061,3109,2493,741,370,7790,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,1043,925,883,832,756,3288,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Other Service,2230,190,161,117,111,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3243,878,501,328,271,Outside of Chicago,Belmont Cragin,Hermosa,Humboldt Park,Logan Square,1484,216,173,111,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.705,748.440,166.986,0.22311,146.330,0.19551,14.409,0.01925,26.352,0.03521,19.073,0.02548,111.649,0.14918,245.551,0.32808,N/A,N/A,15.527,0.02075,2.563,0.00342,1381,1588,1111,2902,5208,903,1774,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13864,8557,22421,3677,18744,8632,3677,17949,408,0,130,0,31,80,146,0,3086,22574,649,319,280
Humboldt Park,65836,56323,56248,18686,14091,10569,8283,2875,1389,355,29.8,3258,30847,20912,305,926,55870,40938,24990,21325,3665,15948,452,20525,11123,2495,5202,1084,621,N/A,4421,7189,3761,1166,32584,9743,10490,6241,1570,3298,1242,6226,4513,2464,1778,1038,518,34807,16537,6050,10487,2981,19518,4041,262,6639,5355,3204,5.7,857,1517,3712,13432,N/A,2670,7939,6448,1706,755,17329,Health Care,Retail Trade,Administration,Accommodation and Food Service,Manufacturing,2597,2150,1974,1864,1733,9804,Manufacturing,Retail Trade,Administration,Health Care,Wholesale Trade,1730,1192,1166,1059,831,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,6936,2048,1254,957,888,Outside of Chicago,Humboldt Park,Austin,West Town,Logan Square,3993,432,345,344,332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.893,2306.724,281.876,0.12220,425.753,0.18457,38.524,0.01670,136.180,0.05904,103.158,0.04472,322.090,0.13963,826.453,0.35828,N/A,N/A,18.493,0.00802,154.195,0.06685,3892,3796,2692,6157,11661,3431,4876,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41374,9980,51354,25928,25426,10609,25928,24694,207,15,152,33,25,89,167,44,2184,31607,31207,239,599
Hyde Park,29920,25681,26573,5514,9378,4159,4004,2031,1072,415,31.3,12539,2101,7621,3249,1063,23801,23529,14079,13134,939,9450,869,11834,3297,509,3452,4396,180,N/A,4616,6076,1629,208,17011,583,1209,2036,523,4563,8097,3756,2358,2312,1161,1283,1659,51483,12529,4479,8050,1675,14204,829,1009,206,1100,11019,4.6,226,2406,3415,8157,N/A,6360,3446,2557,1359,482,11144,Education,Health Care,Accommodation and Food Service,Professional,Retail Trade,3672,1176,855,833,756,17728,Education,Accommodation and Food Service,Health Care,Retail Trade,Real Estate,12971,1291,1263,795,481,Outside of Chicago,Hyde Park,The Loop,Near North Side,Near West Side,3063,3010,1955,724,503,Outside of Chicago,Hyde Park,Kenwood,Lake View,West Town,5670,3010,776,587,449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.589,1032.262,98.593,0.09551,177.607,0.17206,6.437,0.00624,39.949,0.03870,174.924,0.16946,N/A,N/A,251.501,0.24364,N/A,N/A,278.702,0.26999,4.549,0.00441,6567,3369,1430,1163,4538,695,7991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20419,5034,25453,19142,6311,1464,19142,1768,290,1539,125,180,207,539,1207,456,13020,1230,11290,3366,1014
Irving Park,58643,53359,55417,12837,14896,13205,9387,2990,1592,510,34.9,22975,24733,1543,4579,1587,54998,44603,31521,29592,1905,13082,1752,27393,15373,2676,7670,1331,343,N/A,3165,9961,5829,1473,38803,6439,8484,6888,2446,9833,4713,3592,5476,3732,2619,2689,2320,55953,20428,9273,11155,2019,22447,5997,674,4843,3968,6874,5.6,1371,1747,3761,15568,N/A,4789,9253,5454,2062,889,21904,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2829,2183,2144,2034,1830,9769,Health Care,Wholesale Trade,Manufacturing,Retail Trade,Accommodation and Food Service,1553,1404,987,923,817,Outside of Chicago,The Loop,Near North Side,Near West Side,Irving Park,8085,3915,1921,1160,611,Outside of Chicago,Irving Park,Belmont Cragin,Portage Park,Albany Park,4130,611,384,331,281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.180,2057.194,512.791,0.24927,403.748,0.19626,47.232,0.02296,104.200,0.05065,71.118,0.03457,68.496,0.03330,743.306,0.36132,N/A,N/A,94.626,0.04600,11.678,0.00568,5935,6178,3534,4781,12512,1588,7916,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34119,17149,51268,24519,26749,11849,24519,19044,1939,285,1836,780,74,708,1641,442,25912,25401,1121,4362,1847
Jefferson Park,25859,25448,26755,5724,5405,5792,5734,2246,1317,537,39.9,17155,6125,274,2597,604,26722,21969,15077,13958,1119,6892,428,13223,9106,1362,2458,240,57,N/A,1262,4251,3475,1278,19585,2476,5109,3779,1511,4432,2278,1991,1954,1738,1404,1897,1282,66013,10266,6368,3898,779,11045,5271,124,2411,1588,1646,5.7,426,1201,4919,4499,N/A,1651,4010,3722,1265,397,12107,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,1536,1272,1174,1031,926,4832,Manufacturing,Accommodation and Food Service,Administration,Wholesale Trade,Construction,790,633,515,403,381,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5895,2105,645,412,306,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Norwood Park,2515,272,179,133,123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14974,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.850,1489.168,501.385,0.33669,176.249,0.11835,10.285,0.00691,57.910,0.03889,26.288,0.01765,50.525,0.03393,525.503,0.35288,N/A,N/A,133.521,0.08966,7.503,0.00504,3293,2988,1539,2446,6389,386,3877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17250,7729,24979,13956,11023,4859,13956,4210,3354,351,476,344,134,908,1099,147,21101,2881,81,1237,559
Kenwood,18363,17841,17074,3219,4818,3085,3132,1481,963,376,37.1,2925,503,11690,1440,516,16851,14427,9125,7945,1180,5302,566,7117,3547,239,2631,550,150,N/A,3307,4277,1258,275,12355,992,1491,2199,838,2942,3893,3218,1867,1135,838,1070,989,41414,9117,2807,6310,1315,10432,724,713,160,680,8132,4.5,848,3455,2896,3233,N/A,4402,3099,1903,742,286,7058,Education,Health Care,Administration,Accommodation and Food Service,Retail Trade,1475,1050,591,548,531,1081,Retail Trade,Real Estate,Education,Other Service,Accommodation and Food Service,220,199,168,143,122,Outside of Chicago,The Loop,Hyde Park,Near North Side,Near West Side,1781,1726,776,634,415,Outside of Chicago,Kenwood,South Shore,Hyde Park,Grand Boulevard,340,69,45,38,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.806,666.520,133.684,0.20057,128.126,0.19223,0.460,0.00069,26.042,0.03907,54.092,0.08116,0.608,0.00091,179.333,0.26906,N/A,N/A,123.731,0.18564,20.445,0.03067,4975,2427,1057,658,3404,890,5713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14069,2059,16128,13955,2173,669,13955,351,79,770,90,40,135,172,266,270,2915,301,13900,785,462
Lake View,94817,94368,99876,11520,50442,19260,10933,4298,2459,964,30.9,78859,8099,3320,6735,2863,99471,89426,74417,71976,2399,15009,4732,66227,21512,2714,35690,5095,1216,N/A,18797,24212,8184,1401,76027,1542,4554,7238,2471,35819,24403,7383,8067,8896,6724,9746,11778,82254,52594,19083,33511,4958,57552,3905,1588,3380,8651,39964,4.5,5327,12028,16016,24181,N/A,26113,18883,8784,2664,1108,58002,Professional,Finance,Health Care,Education,Accommodation and Food Service,11808,6757,5688,5196,5009,22764,Health Care,Accommodation and Food Service,Retail Trade,Other Service,Professional,5687,5432,3380,1604,1461,The Loop,Outside of Chicago,Near North Side,Near West Side,Lake View,17876,14280,8747,4418,2589,Outside of Chicago,Lake View,Uptown,Edgewater,West Town,7597,2589,946,745,680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.692,1994.179,220.710,0.11068,632.357,0.31710,92.330,0.04630,124.110,0.06224,96.367,0.04832,16.474,0.00826,623.441,0.31263,N/A,N/A,178.076,0.08930,10.314,0.00517,25582,17600,5313,4099,15594,869,37000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82162,12453,94615,79899,14716,3734,79899,5107,1565,852,605,409,297,1326,3799,756,75363,8268,4193,5143,1850
Lincoln Park,64320,64116,67260,11996,29962,11482,8001,3584,1700,535,30.1,53151,4675,3134,4243,2057,63489,58341,45639,44037,1602,12702,2893,40575,14862,1833,18786,3932,1162,N/A,9858,15636,6059,855,46982,1205,2571,3321,1000,22458,16427,4914,3786,4631,3518,5727,9832,95416,32408,13680,18728,3030,35438,3236,3195,1668,4876,22409,4.5,3040,11662,6077,14659,N/A,15447,10574,5806,2372,1239,33819,Professional,Finance,Health Care,Education,Accommodation and Food Service,7305,4255,3119,2973,2347,28572,Health Care,Retail Trade,Accommodation and Food Service,Transportation,Other Service,7947,5685,4146,2169,1895,The Loop,Outside of Chicago,Near North Side,Near West Side,Lincoln Park,11097,8899,4779,2752,1558,Outside of Chicago,Lake View,Lincoln Park,West Town,Logan Square,11136,1746,1558,1005,889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.426,2024.464,307.458,0.15187,372.189,0.18385,63.644,0.03144,249.678,0.12333,105.189,0.05196,47.349,0.02339,532.910,0.26324,N/A,N/A,318.296,0.15722,27.751,0.01371,15378,10391,3675,2964,11084,844,21324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56046,7277,63323,54755,8568,2131,54755,2680,1246,578,236,230,329,433,2635,201,54341,3254,3323,2325,1077
Lincoln Square,44574,39493,41483,7306,13696,10180,6588,2228,976,509,34.7,26554,7284,1394,4608,1643,40820,35160,26812,25161,1651,8348,1508,23161,10932,1514,8799,1675,241,N/A,3828,9473,4360,771,31977,2819,3687,4524,1527,11589,7831,3263,3987,3043,2512,2745,2882,66393,18432,7164,11268,1217,19649,2966,419,2980,3526,9747,5.2,1554,2100,5858,10137,N/A,6478,6904,4603,1119,545,20174,Health Care,Professional,Education,Accommodation and Food Service,Finance,2721,2691,2150,1963,1627,7029,Health Care,Accommodation and Food Service,Retail Trade,Manufacturing,Administration,2020,1005,627,549,471,Outside of Chicago,The Loop,Near North Side,Near West Side,Lake View,6423,4428,2349,1132,623,Outside of Chicago,Lincoln Square,West Ridge,Albany Park,Edgewater,2687,620,257,233,207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10678,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.927,1638.024,224.261,0.13691,346.592,0.21159,34.934,0.02133,54.438,0.03323,382.881,0.23375,41.366,0.02525,456.352,0.27860,N/A,N/A,82.667,0.05047,14.533,0.00887,6941,6047,2969,2475,9002,750,9430,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28376,9978,38354,24565,13789,5140,24565,5483,1444,290,1339,637,322,1444,1937,893,23716,11831,1342,5921,1764
Logan Square,82715,72791,73757,16169,27247,16959,8527,2903,1500,452,31.7,32717,33784,3542,2143,1571,73293,60283,45324,43008,2302,14959,2510,39846,19633,2384,13803,3466,560,N/A,6429,13723,7458,1322,51966,6607,10194,6897,2631,16396,9241,5890,5845,4920,3541,4479,4282,63597,28957,10700,18257,3300,32257,4782,947,6827,8513,11127,5.5,3061,3050,3606,22540,N/A,7554,13142,8612,2123,826,35266,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,4332,3736,3555,3208,3100,16508,Retail Trade,Accommodation and Food Service,Health Care,Administration,Manufacturing,3219,2220,1849,1440,1411,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,11262,7217,3573,2493,1530,Outside of Chicago,Logan Square,West Town,Lake View,Belmont Cragin,6151,1476,711,619,543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.972,2297.006,278.059,0.12105,621.250,0.27046,76.529,0.03332,188.192,0.08193,70.777,0.03081,125.225,0.05452,859.481,0.37417,N/A,N/A,41.436,0.01804,36.058,0.01570,8820,10593,4145,5399,14362,2477,14595,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55212,13195,68407,43025,25382,12132,43025,22457,961,126,257,64,158,171,981,207,21742,53833,4290,1087,1763
Lower West Side,44031,35769,32998,8694,10454,6653,4323,1811,772,291,31.0,4955,25699,1258,718,368,32872,25816,17799,16138,1661,8017,375,15427,6924,1573,4907,1747,276,N/A,3516,5120,2481,719,21492,7056,4673,2958,1041,3881,1883,3784,3425,2179,1146,849,453,39020,11836,3133,8703,1770,13606,1591,249,3434,4348,3978,4.8,866,1166,1426,10148,N/A,2746,6709,3189,640,322,11844,Accommodation and Food Service,Retail Trade,Administration,Manufacturing,Health Care,1382,1256,1251,1243,1196,12609,Wholesale Trade,Manufacturing,Administration,Health Care,Transportation,2293,1751,1713,1133,1063,Outside of Chicago,The Loop,Near North Side,Near West Side,Lower West Side,3833,2094,1010,957,679,Outside of Chicago,Lower West Side,South Lawndale,Brighton Park,Bridgeport,5538,679,387,292,266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.215,1872.147,63.068,0.03369,226.170,0.12081,51.689,0.02761,72.460,0.03870,98.844,0.05280,490.419,0.26196,759.378,0.40562,N/A,N/A,37.884,0.02024,72.234,0.03858,3471,3499,1845,3021,6732,1501,5104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19459,11514,30973,8847,22126,9345,8847,21063,174,104,73,167,56,141,297,51,3587,39144,774,121,405
McKinley Park,15962,15612,16064,4424,4031,3312,2673,1084,407,133,33.4,2660,10095,145,2918,246,16022,12311,8088,7079,1009,4223,173,6737,3645,961,1748,348,35,N/A,800,2474,1377,507,10402,3070,2934,1701,662,1398,637,1384,1616,980,452,475,251,43496,5158,2851,2307,433,5591,1767,265,2011,923,610,5.6,381,411,1106,3693,N/A,485,2117,2233,483,273,5549,Accommodation and Food Service,Manufacturing,Health Care,Administration,Retail Trade,713,605,603,555,517,4915,Administration,Wholesale Trade,Retail Trade,Manufacturing,Transportation,1486,824,723,482,345,Outside of Chicago,The Loop,Near West Side,Near North Side,Armour Square,1669,1001,414,387,237,Outside of Chicago,McKinley Park,Brighton Park,Bridgeport,Gage Park,2488,173,153,137,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.587,905.230,120.045,0.13261,107.687,0.11896,11.821,0.01306,61.321,0.06774,24.730,0.02732,162.790,0.17983,301.551,0.33312,N/A,N/A,73.648,0.08136,41.636,0.04600,1180,1278,1012,1688,3645,584,1513,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9209,5720,14929,4224,10705,4495,4224,7889,159,2461,12,3,38,42,95,6,4607,9819,116,1212,208
Montclare,12646,13426,13040,3130,3075,2712,2475,714,723,212,36.6,4052,7608,584,522,275,12983,10561,6463,5993,471,4098,138,5662,4201,398,803,120,139,N/A,563,1720,1580,603,8813,1838,2713,1990,670,1102,501,882,1406,614,676,639,249,48626,4465,2762,1702,575,5040,2727,142,737,552,882,5.6,472,713,2200,1653,N/A,748,2005,1437,579,270,5178,Health Care,Manufacturing,Retail Trade,Accommodation and Food Service,Administration,667,636,535,494,439,2272,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Other Service,686,517,439,199,85,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2533,718,256,224,133,Outside of Chicago,Montclare,Belmont Cragin,Portage Park,Austin,1313,110,103,76,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13473,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.274,633.067,249.146,0.39355,66.422,0.10492,5.828,0.00921,55.159,0.08713,28.527,0.04506,19.826,0.03132,193.169,0.30513,N/A,N/A,10.455,0.01652,4.534,0.00716,1158,1163,694,1450,3031,431,1434,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8163,3925,12088,4036,8052,2899,4036,5960,1316,17,147,31,48,132,393,8,6892,4865,264,337,288
